sample_id,Population,EstTotalCount
918310,PU1+,144824
918310,NeuN+,4359464
918310,SOX10+,668362
918310,SOX2+,249886
917423,PU1+,256364
917423,NeuN+,2913658
917423,SOX10+,467283
917423,SOX2+,122749
918309,PU1+,134314
918309,NeuN+,5017422
918309,SOX10+,645822
918309,SOX2+,234638
916462,PU1+,140470
916462,NeuN+,4324274
916462,SOX10+,706017
916462,SOX2+,244351
918277,PU1+,264586
918277,NeuN+,5102254
918277,SOX10+,905283
918277,SOX2+,298508
917432,PU1+,292983
917432,NeuN+,2417080
917432,SOX10+,519682
917432,SOX2+,118225
918304,PU1+,137344
918304,NeuN+,3742073
918304,SOX10+,660082
918304,SOX2+,182941
918279,PU1+,153305
918279,NeuN+,3704633
918279,SOX10+,869778
918279,SOX2+,286994
916440,PU1+,263336
916440,NeuN+,3170809
916440,SOX10+,740542
916440,SOX2+,140863
916466,PU1+,131077
916466,NeuN+,3555483
916466,SOX10+,592474
916466,SOX2+,175229
918293,PU1+,198242
918293,NeuN+,3752887
918293,SOX10+,1116808
918293,SOX2+,306348
916504,PU1+,169315
916504,NeuN+,3994910
916504,SOX10+,715208
916504,SOX2+,284095
918289,PU1+,161425
918289,NeuN+,3918578
918289,SOX10+,854318
918289,SOX2+,183003
918280,PU1+,99394
918280,NeuN+,3429660
918280,SOX10+,652327
918280,SOX2+,243713
918302,PU1+,151310
918302,NeuN+,4217479
918302,SOX10+,720499
918302,SOX2+,240907
918296,PU1+,113656
918296,NeuN+,2165855
918296,SOX10+,602983
918296,SOX2+,161995
917444,PU1+,232130
917444,NeuN+,3504921
917444,SOX10+,663038
917444,SOX2+,148468
916500,PU1+,305444
916500,NeuN+,3878405
916500,SOX10+,710427
916500,SOX2+,182984
918261,PU1+,164940
918261,NeuN+,3819827
918261,SOX10+,1004411
918261,SOX2+,323672
918264,PU1+,150372
918264,NeuN+,3850140
918264,SOX10+,740369
918264,SOX2+,225320
918276,PU1+,240022
918276,NeuN+,4245686
918276,SOX10+,1057894
918276,SOX2+,267543
918274,PU1+,149380
918274,NeuN+,4414339
918274,SOX10+,547613
918274,SOX2+,157122
918291,PU1+,164982
918291,NeuN+,3818391
918291,SOX10+,715170
918291,SOX2+,263196
917461,PU1+,140509
917461,NeuN+,5546126
917461,SOX10+,812006
917461,SOX2+,314075
918263,PU1+,265987
918263,NeuN+,4696603
918263,SOX10+,906183
918263,SOX2+,172787
916525,PU1+,188388
916525,NeuN+,6081797
916525,SOX10+,1138063
916525,SOX2+,432133
916507,PU1+,359240
916507,NeuN+,5649668
916507,SOX10+,1219908
916507,SOX2+,249441
916439,PU1+,174208
916439,NeuN+,6020931
916439,SOX10+,1109079
916439,SOX2+,358158
916458,PU1+,213572
916458,NeuN+,3510850
916458,SOX10+,607854
916458,SOX2+,198941
918285,PU1+,145999
918285,NeuN+,5016801
918285,SOX10+,1109142
918285,SOX2+,336610
918287,PU1+,107237
918287,NeuN+,3834071
918287,SOX10+,992565
918287,SOX2+,329658
916459,PU1+,125636
916459,NeuN+,4294491
916459,SOX10+,670990
916459,SOX2+,205588
918270,PU1+,300895
918270,NeuN+,6579571
918270,SOX10+,1413153
918270,SOX2+,317167
916534,PU1+,256602
916534,NeuN+,4110742
916534,SOX10+,905025
916534,SOX2+,180974
918271,PU1+,212404
918271,NeuN+,4594096
918271,SOX10+,856439
918271,SOX2+,207345
916510,PU1+,178708
916510,NeuN+,5213337
916510,SOX10+,1147471
916510,SOX2+,415765
918269,PU1+,168156
918269,NeuN+,5580031
918269,SOX10+,1306084
918269,SOX2+,447223
918273,PU1+,114186
918273,NeuN+,3027589
918273,SOX10+,719696
918273,SOX2+,247595
918284,PU1+,202884
918284,NeuN+,6638607
918284,SOX10+,1214219
918284,SOX2+,381006
917430,PU1+,253817
917430,NeuN+,5411719
917430,SOX10+,811748
917430,SOX2+,189516
917442,PU1+,272697
917442,NeuN+,4392368
917442,SOX10+,827083
917442,SOX2+,222704
918267,PU1+,374553
918267,NeuN+,5213994
918267,SOX10+,1341406
918267,SOX2+,199083
916486,PU1+,190911
916486,NeuN+,3902785
916486,SOX10+,1028665
916486,SOX2+,162677
916445,PU1+,318621
916445,NeuN+,5933505
916445,SOX10+,953757
916445,SOX2+,250349
916495,PU1+,262389
916495,NeuN+,7663752
916495,SOX10+,1377331
916495,SOX2+,445012
918286,PU1+,312024
918286,NeuN+,3979593
918286,SOX10+,811349
918286,SOX2+,176568
918266,PU1+,334757
918266,NeuN+,5318760
918266,SOX10+,1176308
918266,SOX2+,269857
918268,PU1+,307741
918268,NeuN+,5847055
918268,SOX10+,1336045
918268,SOX2+,337450
918272,PU1+,222295
918272,NeuN+,5241408
918272,SOX10+,1093843
918272,SOX2+,320950
918281,PU1+,301658
918281,NeuN+,4320476
918281,SOX10+,1224530
918281,SOX2+,366102
916554,PU1+,520370
916554,NeuN+,7023877
916554,SOX10+,1366271
916554,SOX2+,326903
916515,PU1+,349635
916515,NeuN+,5840646
916515,SOX10+,1204151
916515,SOX2+,211377
916477,PU1+,456473
916477,NeuN+,6460500
916477,SOX10+,1245036
916477,SOX2+,307945
916470,PU1+,429661
916470,NeuN+,7526029
916470,SOX10+,1199847
916470,SOX2+,331754
918275,PU1+,153897
918275,NeuN+,4223734
918275,SOX10+,884424
918275,SOX2+,416529
918311,PU1+,206320
918311,NeuN+,4496722
918311,SOX10+,958825
918311,SOX2+,415028
917447,PU1+,317107
917447,NeuN+,4944121
917447,SOX10+,1195770
917447,SOX2+,294088
917425,PU1+,134206
917425,NeuN+,3377948
917425,SOX10+,729342
917425,SOX2+,246489
918262,PU1+,190641
918262,NeuN+,6056519
918262,SOX10+,1189360
918262,SOX2+,390451
916501,PU1+,307629
916501,NeuN+,6308775
916501,SOX10+,1086085
916501,SOX2+,253274
918288,PU1+,277872
918288,NeuN+,8113432
918288,SOX10+,1497344
918288,SOX2+,268836
916476,PU1+,211080
916476,NeuN+,5842246
916476,SOX10+,1119555
916476,SOX2+,268988
916524,PU1+,150659
916524,NeuN+,4185660
916524,SOX10+,1005121
916524,SOX2+,231919
916543,PU1+,195702
916543,NeuN+,4085539
916543,SOX10+,1108861
916543,SOX2+,273467
918283,PU1+,357527
918283,NeuN+,5653525
918283,SOX10+,1416380
918283,SOX2+,227309
918282,PU1+,285441
918282,NeuN+,5433749
918282,SOX10+,605028
918282,SOX2+,250345
917422,PU1+,172468
917422,NeuN+,4851478
917422,SOX10+,804707
917422,SOX2+,229649
918318,PU1+,171820
918318,NeuN+,4554922
918318,SOX10+,453511
918318,SOX2+,152305
917440,PU1+,211766
917440,NeuN+,5347233
917440,SOX10+,758600
917440,SOX2+,261952
916468,PU1+,306715
916468,NeuN+,5392978
916468,SOX10+,849748
916468,SOX2+,171849
917445,PU1+,253611
917445,NeuN+,6112909
917445,SOX10+,1250343
917445,SOX2+,358748
918278,PU1+,300484
918278,NeuN+,5392996
918278,SOX10+,1154194
918278,SOX2+,174691
